Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product tag line (product.metafields.custom.product_tag_line),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
natural-pyrite-tortoise-wealth-symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Natural Pyrite Tortoise Wealth Symbol,,,,,,,,,,,,,,,,,,,,,
natural-pyrite-tortoise-wealth-symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Natural Pyrite Tortoise Wealth Symbol,,,,,,,,,,,,,,,,,,,,,
rakshabandhan-spiritual-gift-box,Rakshabandhan Spiritual Gift Box,"<div class=""upaasak-product""><p>The UPAASAK Raksha Bandhan Gift Box is a thoughtfully curated spiritual gifting hamper designed to honour the sacred bond between siblings with meaningful devotional gifts. The set includes a genuine Rudraksha Bracelet (energized by UPAASAK before dispatch), a sacred Rakhi, incense, and Mauli thread — everything needed to celebrate Raksha Bandhan with spiritual intention and heartfelt love. Unlike conventional gift boxes, this hamper is rooted in Sanatan Dharma&#x27;s tradition of gifting that nourishes both the body and the soul. The Rudraksha Bracelet inside carries authentic Shiva blessings and serves as a lasting protective gift that the recipient can wear daily. The entire hamper is elegantly packaged in UPAASAK&#x27;s premium branded gift box, ready to present without any additional wrapping. Pan India delivery with tracking ensures timely arrival for the festival. A deeply meaningful alternative to conventional Raksha Bandhan gifts for those who value spiritual depth in every celebration.</p><h3>Key Highlights</h3><ul><li>Curated spiritual Raksha Bandhan hamper — Rudraksha bracelet + ritual essentials</li><li>Rudraksha bracelet inside is energized by UPAASAK before dispatch</li><li>Premium UPAASAK branded gift-ready packaging with gold satin ribbon</li><li>Pan India delivery with tracking — arrives festival-ready</li><li>The most meaningful spiritual gifting choice for Raksha Bandhan</li></ul><h3>Specifications</h3><p>Suitable for</p><ul><li>Suitable for Raksha Bandan or similar ocassions</li><li>A gift of devotion for every sibling bond</li></ul><p>How to Use</p><ul><li>Gift this hamper on Raksha Bandhan</li><li>The Rudraksha bracelet can be worn on the right wrist daily by the recipient</li></ul><p>Who Should Use?</p><ul><li>For brothers and sisters celebrating Raksha Bandhan</li><li>Especially meaningful for those who value spiritual gifting</li></ul><p>Care Instructions</p><ul><li>Store in a cool, dry place</li><li>Handle Rudraksha bracelet with care</li></ul><p>Auspicious Day to Start using</p><ul><li>Raksha Bandhan (the most auspicious day for this gift)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Brothers &amp; Sisters — Universal Sibling Gifting</li><li>Suitable for all ages</li></ul><h3>Box Contents</h3><ul><li>1 × Red Mauli Thread (Sacred Thread)</li><li>1 × Roli-Chawal Pack</li><li>1 × Dry Fruits Pack</li><li>1 × Bifold Greeting Card</li><li>1 × Gold Plated Rudraksha Bracelet (Energized Before Dispatch)</li><li>1 × UPAASAK Certificate Card</li><li>UPAASAK Branded Box with Gold Satin Ribbon</li></ul><h3>Key Benefits</h3><ul><li>Sacred spiritual gifting — goes beyond conventional Raksha Bandhan gifts</li><li>Rudraksha bracelet is energized and carries Lord Shiva&#x27;s daily protective blessing</li><li>All ritual essentials included for a complete traditional Raksha Bandhan celebration</li><li>Premium gift-ready packaging delivered Pan India — no additional wrapping needed</li></ul><h3>FAQs</h3><p><strong>Can I send this as a gift directly to the recipient?</strong><br>Yes — enter the recipient&#x27;s address at checkout and add a personal message in order notes.</p><p><strong>Is gift wrapping available?</strong><br>All UPAASAK products come in premium branded packaging — no additional wrapping needed.</p><p><strong>Can I place bulk gifting orders?</strong><br>Yes — contact us via WhatsApp for bulk gifting orders with custom requirements.</p><p><strong>Can I place a bulk gifting order for corporate events or festivals?</strong><br>Yes — we offer custom bulk gifting solutions for corporate events, Diwali, Raksha Bandhan and festivals. Contact us on WhatsApp for pricing and customisation.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,,Gifting,"Gifting, Protection, Lord Shiv, Certified, Energized, Original, Enquiry",TRUE,Title,Default Title,,,,,,,,GF-RKGB-03,0,shopify,100,deny,manual,0,,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Rakshabandhan Spiritual Gift Box,FALSE,Rakshabandhan Gift Box | Sacred Spiritual Hamper | Rudraksha Bracelet ,"The UPAASAK Raksha Bandhan Gift Box is a thoughtfully curated spiritual gifting hamper designed to honour the sacred bond between siblings with meaningful devotional gifts. The set includes a genuine Rudraksha Bracelet (energized by UPAASAK before dispatch), a sacred Rakhi, incense, and Mauli thread",,,,,new,,,,,,,Spiritual Gift Hamper,,,kg,,,active
rakshabandhan-spiritual-gift-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Rakshabandhan Spiritual Gift Box,,,,,,,,,,,,,,,,,,,,,
rakshabandhan-spiritual-gift-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Rakshabandhan Spiritual Gift Box,,,,,,,,,,,,,,,,,,,,,
diwali-pooja-kit-36-items-puja-samagri,Diwali Pooja Kit - 36 Items Puja Samagri,"<div class=""upaasak-product""><p>The UPAASAK Diwali Pooja Kit is our most complete festival offering — featuring 36 carefully curated items for an authentic Lakshmi puja on Diwali night. Every essential is included — Kumkum, Sindoor, Abir, Gulal, Akshat, Camphor, Agarbatti, Attar, Clay Diya, Gangajal, Haldi Root, Kamal Gatta, Honey, Mauli, Janeo, Rangoli, Mahalakshmi Photo, Diwali Puja Book, and more — so your puja flows without interruption or last-minute running around.<br><br>All consumables are hygienically sourced and freshly packed for quality and ritual effectiveness. The kit also includes special items like Silk Cloth, Mehndi, and Bangles — making it a complete Diwali experience beyond just the puja samagri.<br><br>Diwali is Sanatan Dharma&#x27;s most auspicious festival of light and prosperity. A properly conducted Lakshmi puja on Diwali night is among the most significant acts of the year — and UPAASAK&#x27;s kit ensures nothing comes between you and your devotion.<br><br>Delivered in premium UPAASAK branded pouches with Pan India shipping. Order early — Diwali kits sell out fast. The perfect blend of devotion, completeness, and convenience for every Hindu household.</p><h3>Key Highlights</h3><ul><li>35+ item Diwali puja kit — the most complete available</li><li>Fresh Lakshmi-Ganesh puja samagri for the auspicious night</li><li>Premium UPAASAK branded packaging — ideal as a Diwali gift</li><li>Covers every ritual from purification to prasad distribution</li><li>Pan India delivery — order early; kits sell out before Diwali</li></ul><h3>Specifications</h3><p>Suitable For</p><ul><li>All devotees celebrating Diwali — all Hindu traditions and regions</li><li>Families, households, and individual devotees of Maa Lakshmi and Lord Ganesha</li></ul><p>How to Use</p><ul><li>Follow traditional Lakshmi-Ganesh puja vidhi on Diwali night</li><li>Light the diya, perform aarti, and distribute prasad as per tradition</li></ul><p>Key Contents</p><ul><li>Kumkum, Sindoor, Abir, Gulal, Akshat, Supari, Mauli, Janeo, Haldi Root, Coriander, Kamal Gatta, Wheat, Rice, Mustard, Jaggery, Patashe, Honey, Sugar, Camphor, Agarbatti, Attar, Clay Diya, Cotton, Gangajal, Silk Cloth, Bangles, Mehndi, Laxmi Pujan Samagri, Rangoli Pack, Mahalakshmi Photo, Diwali Puja Book, Stickers &amp; Bandanwar — and 36 complete items in UPAASAK Branded Pouches</li></ul><p>Storage</p><ul><li>Store in a cool, dry place away from sunlight</li><li>Use within 6-12 months of purchase</li></ul><p>Best Day to Order</p><ul><li>Order at least 10-14 days before Diwali for guaranteed delivery</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men, Women &amp; Children (All ages)</li><li>Household and community Diwali puja</li></ul><h3>Box Contents</h3><p>36 Fresh Diwali Puja Items including: Kumkum, Sindoor, Abir &amp; Gulal Akshat, Supari, Jaggery &amp; Patashe Camphor (Kapoor), Agarbatti &amp; Attar Clay Diya, Cotton (Rui) &amp; Matchstick Box Haldi Root, Coriander &amp; Kamal Gatta Wheat, Rice &amp; Mustard Seeds Honey, Sugar &amp; Gangajal Bottle Silk Cloth, Bangles &amp; Mehndi Mauli Thread, Janeo &amp; Laxmi Pujan Samagri Rangoli Pack, Stickers &amp; Bandanwar Mahalakshmi Photo &amp; Diwali Puja Book UPAASAK Branded Pouches</p><h3>Key Benefits</h3><ul><li>Most complete Diwali puja kit — 35+ items for every ritual need</li><li>Fresh samagri ensures a complete, authentic Lakshmi-Ganesh puja</li><li>Eliminates last-minute shopping stress on the most important puja night</li><li>Premium packaging makes it the ideal Diwali gift for any household</li></ul><h3>FAQs</h3><p><strong>Are all items in the kit fresh and ready to use?</strong><br>Yes — all consumable items are fresh, hygienically packed and ready to use.</p><p><strong>What if an item is missing or damaged?</strong><br>Record your unboxing video and raise a request within 24 hours via WhatsApp or Email. We will replace the item at no cost.</p><p><strong>Can I customise the items in a Pooja Kit?</strong><br>Currently kits are pre-curated. For custom requirements or bulk festival orders, contact us via WhatsApp.</p><p><strong>What is the shelf life of the items in the kit?</strong><br>Consumable items (agarbatti, camphor, kumkum, powders) are freshly packed. Use within 6-12 months of purchase for best results.</p><h3>Disclaimer</h3><ul><li>Items are for ritual/ceremonial use per traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee specific spiritual outcomes</li><li>Individual experience may vary based on faith and intention</li></ul></div>",Upaasak,,Pooja Kits,"Pooja Kits, Wealth, Peace, Lord Ganesh, Certified, Energized, Original, Enquiry",TRUE,Title,Default Title,,,,,,,,PK-DIWA-01,0,shopify,100,deny,manual,0,,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Diwali Pooja Kit - 36 Items Puja Samagri,FALSE,Diwali Pooja Kit | Complete Lakshmi Ganesh Puja Samagri | 35+ Items | ,"The UPAASAK Diwali Pooja Kit is our most complete festival offering — featuring 36 carefully curated items for an authentic Lakshmi puja on Diwali night. Every essential is included — Kumkum, Sindoor, Abir, Gulal, Akshat, Camphor, Agarbatti, Attar, Clay Diya, Gangajal, Haldi Root, Kamal Gatta, Honey",,,,,new,,,,,,,35+ Puja Essentials,,,kg,,,active
diwali-pooja-kit-36-items-puja-samagri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Diwali Pooja Kit - 36 Items Puja Samagri,,,,,,,,,,,,,,,,,,,,,
diwali-pooja-kit-36-items-puja-samagri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Diwali Pooja Kit - 36 Items Puja Samagri,,,,,,,,,,,,,,,,,,,,,
protection-black-tourmaline-bracelet-natural-crystal-sb-bktm-01,Protection Black Tourmaline Bracelet (Natural Crystal),"<div class=""upaasak-product""><p>The Black Tourmaline Crystal Bracelet is specially curated for Kumbh Rashi (Aquarius) natives and is widely recognized as one of the most powerful protective crystals in the world. Black Tourmaline is traditionally believed to create a strong energetic shield around the wearer, absorbing and deflecting negative energy, electromagnetic radiation, and environmental stress. With 8mm natural Black Tourmaline beads, this bracelet is dense, grounding, and highly effective as a daily protective accessory. The crystal activates the Muladhara (Root) Chakra, promoting stability, security, and emotional grounding. Each bracelet is lab-certified using the OSOC (One Sample One Certificate) method and energized by UPAASAK before dispatch. Suitable for all Rashis seeking protection and grounding, with primary recommendation for Kumbh Rashi natives. Ideal for those in high-stress environments, urban settings, or anyone seeking a reliable daily energetic shield. Worn on the left wrist for maximum protective absorption.</p><h3>Key Highlights</h3><ul><li>8mm natural Black Tourmaline beads — world&#x27;s most trusted protection crystal</li><li>Absorbs negative energy, EMF, and environmental stress</li><li>Lab-certified using OSOC method and energized by UPAASAK before dispatch</li><li>Activates Muladhara (Root) Chakra for deep grounding and emotional stability</li><li>Curated for Kumbh Rashi (Aquarius); beneficial for all Rashis</li></ul><h3>Specifications</h3><p>Suitable Rashi / Zodiac</p><ul><li>Primarily curated for Kumbh Rashi (Aquarius)</li><li>Suitable for all Rashis seeking protection and grounding</li></ul><p>How to Wear</p><ul><li>Wear on the left wrist to absorb the stone&#x27;s energy</li><li>Cleanse before first use in moonlight or by smudging with incense smoke</li></ul><p>Who Should Wear?</p><ul><li>Suitable for men and women of all ages</li><li>Recommended for those seeking protection and grounding</li></ul><p>Care Instructions</p><ul><li>Keep away from water, perfumes, and harsh chemicals</li></ul><ul><li>Wipe gently with a soft dry cloth</li><li>Store in a soft pouch when not worn</li></ul><p>Auspicious Day to Start Wearing</p><ul><li>Saturday (Saturn&#x27;s grounding and protection day)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men &amp; Women (Unisex)</li><li>Suitable for daily wear and spiritual practice</li></ul><h3>Box Contents</h3><ul><li>1 × Kumbh Rashi Black Tourmaline Bracelet</li><li>1 × UPAASAK Authenticity Certificate Card (with QR Code)</li><li>Premium Protective Packaging</li></ul><h3>Key Benefits</h3><ul><li>Absorbs negative energy, electromagnetic stress, and psychic disturbances</li><li>Deep root chakra grounding — promotes emotional stability and security</li><li>Shields against toxic environments and energy-draining situations</li><li>Daily wearable protective armour for the energy-sensitive wearer</li></ul><h3>FAQs</h3><p><strong>Which wrist should I wear crystal bracelets on?</strong><br>Traditionally, crystal bracelets are worn on the left wrist, which is believed to receive and absorb the stone&#x27;s positive energy. However, you may wear it on either wrist based on personal comfort or spiritual guidance.</p><p><strong>Can anyone wear a crystal bracelet?</strong><br>Yes. Most UPAASAK crystal bracelets are suitable for men and women of all ages. Some bracelets are specially recommended for certain Rashis or purposes, but they can generally be worn by anyone seeking their traditional benefits.</p><p><strong>Are UPAASAK crystal bracelets genuine?</strong><br>Yes. We use natural crystals sourced from verified suppliers. Selected products are Lab Tested using the OSOC (One Sample One Certificate) method, and each applicable product includes a certificate with a QR code to verify authenticity.</p><p><strong>How do I cleanse and recharge my crystal bracelet?</strong><br>Place in moonlight overnight or smudge with incense smoke for 2-3 minutes every 15-30 days to cleanse and recharge the crystal&#x27;s energy.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,Apparel & Accessories > Jewelry > Bracelets,Spiritual Bracelets,"Spiritual Bracelets, Protection, Certified, Energized, Original",TRUE,Title,Default Title,,,,,,,,SB-BKTM-01,0,shopify,100,deny,manual,1299,1450,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Protection Black Tourmaline Bracelet (Natural Crystal),FALSE,Black Tourmaline Crystal Bracelet | Protection & Grounding | Kumbh Ras,"The Black Tourmaline Crystal Bracelet is specially curated for Kumbh Rashi (Aquarius) natives and is widely recognized as one of the most powerful protective crystals in the world. Black Tourmaline is traditionally believed to create a strong energetic shield around the wearer, absorbing and deflect",,,,,new,,,,,,,Natural Crystals,,,kg,,,active
protection-black-tourmaline-bracelet-natural-crystal-sb-bktm-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Protection Black Tourmaline Bracelet (Natural Crystal),,,,,,,,,,,,,,,,,,,,,
protection-black-tourmaline-bracelet-natural-crystal-sb-bktm-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Protection Black Tourmaline Bracelet (Natural Crystal),,,,,,,,,,,,,,,,,,,,,
confidence-yellow-calcite-bracelet-natural-crystal,Confidence Yellow Calcite Bracelet (Natural Crystal),"<div class=""upaasak-product""><p>The Yellow Calcite Crystal Bracelet is curated specifically for Meen Rashi (Pisces) natives and is celebrated for its ability to enhance mental clarity, boost confidence, and invite positive energy. Yellow Calcite is traditionally associated with the solar plexus chakra and is believed to amplify optimism, dissolve mental fog, and encourage a clear, confident mindset. With 8mm natural Yellow Calcite beads, this bracelet radiates warm, uplifting energy that benefits students, professionals, and anyone seeking a mental boost. Each bracelet is lab-certified using the OSOC (One Sample One Certificate) method and energized by UPAASAK before dispatch. Suitable for all Rashis seeking clarity and positivity, with primary recommendation for Meen (Pisces) natives. Best worn on the left wrist to absorb the stone&#x27;s optimistic energy throughout the day. An ideal choice for those preparing for exams, presentations, interviews, or simply seeking a more confident daily outlook.</p><h3>Key Highlights</h3><ul><li>8mm natural Yellow Calcite beads — warm, uplifting clarity crystal</li><li>Boosts confidence, dissolves mental fog, and invites positive energy</li><li>Lab-certified using OSOC method and energized by UPAASAK before dispatch</li><li>Activates Manipura (Solar Plexus) Chakra for personal power and clarity</li><li>Curated for Meen Rashi (Pisces); beneficial for all Rashis</li></ul><h3>Specifications</h3><p>Suitable Rashi / Zodiac</p><ul><li>Primarily curated for Meen Rashi (Pisces)</li><li>Suitable for all Rashis seeking mental clarity and positivity</li></ul><p>How to Wear</p><ul><li>Wear on the left wrist to absorb the stone&#x27;s energy</li><li>Cleanse before first use in moonlight or by smudging with incense smoke</li></ul><p>Who Should Wear?</p><ul><li>Suitable for men and women of all ages</li><li>Recommended for those seeking mental clarity and confidence.</li></ul><p>Care Instructions</p><ul><li>Keep away from water, perfumes, and harsh chemicals</li></ul><ul><li>Wipe gently with a soft dry cloth</li><li>Store in a soft pouch when not worn</li></ul><p>Auspicious Day to Start Wearing</p><ul><li>Thursday (Jupiter&#x27;s day of wisdom and positivity)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men &amp; Women (Unisex)</li><li>Suitable for daily wear and spiritual practice</li></ul><h3>Box Contents</h3><ul><li>1 × Meen Rashi Yellow Calcite Bracelet</li><li>1 × UPAASAK Authenticity Certificate Card (with QR Code)</li><li>Premium Protective Packaging</li></ul><h3>Key Benefits</h3><ul><li>Enhances mental clarity and dissolves confusion and overthinking</li><li>Boosts self-confidence and personal authority</li><li>Invites optimism and positive energy into daily life</li><li>Solar plexus activation for personal power and decisive action</li></ul><h3>FAQs</h3><p><strong>Which wrist should I wear crystal bracelets on?</strong><br>Traditionally, crystal bracelets are worn on the left wrist, which is believed to receive and absorb the stone&#x27;s positive energy. However, you may wear it on either wrist based on personal comfort or spiritual guidance.</p><p><strong>Can anyone wear a crystal bracelet?</strong><br>Yes. Most UPAASAK crystal bracelets are suitable for men and women of all ages. Some bracelets are specially recommended for certain Rashis or purposes, but they can generally be worn by anyone seeking their traditional benefits.</p><p><strong>Are UPAASAK crystal bracelets genuine?</strong><br>Yes. We use natural crystals sourced from verified suppliers. Selected products are Lab Tested using the OSOC (One Sample One Certificate) method, and each applicable product includes a certificate with a QR code to verify authenticity.</p><p><strong>How do I cleanse and recharge my crystal bracelet?</strong><br>Place in moonlight overnight or smudge with incense smoke for 2-3 minutes every 15-30 days to cleanse and recharge the crystal&#x27;s energy.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,Apparel & Accessories > Jewelry > Bracelets,Spiritual Bracelets,"Spiritual Bracelets, Confidence, Certified, Energized, Original",TRUE,Title,Default Title,,,,,,,,SB-YLCA-02,0,shopify,100,deny,manual,799,999,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Confidence Yellow Calcite Bracelet (Natural Crystal),FALSE,Yellow Calcite Crystal Bracelet | Mental Clarity & Confidence | Meen R,"The Yellow Calcite Crystal Bracelet is curated specifically for Meen Rashi (Pisces) natives and is celebrated for its ability to enhance mental clarity, boost confidence, and invite positive energy. Yellow Calcite is traditionally associated with the solar plexus chakra and is believed to amplify op",,,,,new,,,,,,,Natural Crystals,,,kg,,,active
confidence-yellow-calcite-bracelet-natural-crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Confidence Yellow Calcite Bracelet (Natural Crystal),,,,,,,,,,,,,,,,,,,,,
confidence-yellow-calcite-bracelet-natural-crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Confidence Yellow Calcite Bracelet (Natural Crystal),,,,,,,,,,,,,,,,,,,,,
money-silver-plated-dhan-yog-bracelet-natural-crystal,Money Silver Plated Dhan Yog Bracelet (Natural Crystal),"<div class=""upaasak-product""><p>The Silver Plated Dhan Yog Bracelet is UPAASAK&#x27;s signature prosperity bracelet, combining three of the most powerful wealth-attracting crystals — Pyrite, Citrine, and Tiger Eye — in a premium silver-plated finish. Pyrite, often called Fool&#x27;s Gold, is traditionally associated with abundance and financial confidence. Citrine, the Merchant&#x27;s Stone, invites prosperity and joy. Tiger Eye enhances focus, willpower, and business acumen. Together, these three stones create a potent combination for attracting wealth, boosting confidence, and supporting professional success. The silver-plated accents add a refined, office-appropriate aesthetic that pairs well with formal and business attire. Each bracelet is lab-certified using the OSOC method and energized by UPAASAK before dispatch. Suitable for all Rashis and especially recommended for entrepreneurs, professionals, and business owners seeking financial growth. Best worn on the left wrist, ideally starting on a Thursday for maximum prosperity alignment.</p><h3>Key Highlights</h3><ul><li>Triple prosperity combo — Pyrite + Citrine + Tiger Eye in silver-plated design</li><li>Attracts wealth, financial abundance, and business confidence</li><li>Lab-certified using OSOC method and energized by UPAASAK before dispatch</li><li>Sleek silver finish suitable for professional and daily business wear</li><li>Suitable for all Rashis — especially recommended for entrepreneurs</li></ul><h3>Specifications</h3><p>Suitable Rashi / Zodiac</p><ul><li>Suitable for all Rashis</li><li>Especially recommended for professionals, entrepreneurs, and business owners</li></ul><p>How to Wear</p><ul><li>Wear on the left wrist to absorb the stone&#x27;s energy</li><li>Cleanse before first use in moonlight or by smudging with incense smoke</li></ul><p>Who Should Wear?</p><ul><li>Suitable for men and women of all ages</li><li>Especially recommended for professionals, entrepreneurs, and those seeking financial growth</li></ul><p>Care Instructions</p><ul><li>Keep away from water, perfumes, and harsh chemicals</li></ul><ul><li>Wipe gently with a soft dry cloth</li><li>Store in a soft pouch when not worn</li></ul><p>Auspicious Day to Start Wearing</p><ul><li>Thursday (Jupiter&#x27;s day of wealth and abundance)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men &amp; Women (Unisex)</li><li>Suitable for daily wear and spiritual practice</li></ul><h3>Box Contents</h3><ul><li>1 × Silver Plated Dhan Yog Bracelet</li><li>1 × UPAASAK Authenticity Certificate Card (with QR Code)</li><li>Premium Protective Packaging</li></ul><h3>Key Benefits</h3><ul><li>Attracts wealth and financial abundance through triple prosperity stone energy</li><li>Pyrite&#x27;s financial confidence + Citrine&#x27;s joy + Tiger Eye&#x27;s focus combined</li><li>Silver-plated design ideal for professional and business daily wear</li><li>Enhances decision-making clarity and wealth manifestation mindset</li></ul><h3>FAQs</h3><p><strong>Which wrist should I wear crystal bracelets on?</strong><br>Traditionally, crystal bracelets are worn on the left wrist, which is believed to receive and absorb the stone&#x27;s positive energy. However, you may wear it on either wrist based on personal comfort or spiritual guidance.</p><p><strong>Can anyone wear a crystal bracelet?</strong><br>Yes. Most UPAASAK crystal bracelets are suitable for men and women of all ages. Some bracelets are specially recommended for certain Rashis or purposes, but they can generally be worn by anyone seeking their traditional benefits.</p><p><strong>Are UPAASAK crystal bracelets genuine?</strong><br>Yes. We use natural crystals sourced from verified suppliers. Selected products are Lab Tested using the OSOC (One Sample One Certificate) method, and each applicable product includes a certificate with a QR code to verify authenticity.</p><p><strong>How do I cleanse and recharge my crystal bracelet?</strong><br>Place in moonlight overnight or smudge with incense smoke for 2-3 minutes every 15-30 days to cleanse and recharge the crystal&#x27;s energy.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,Apparel & Accessories > Jewelry > Bracelets,Spiritual Bracelets,"Spiritual Bracelets, Wealth, Certified, Energized, Original",TRUE,Title,Default Title,,,,,,,,SB-SPDY-03,0,shopify,100,deny,manual,999,1250,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Money Silver Plated Dhan Yog Bracelet (Natural Crystal),FALSE,Silver Plated Dhan Yog Bracelet | Pyrite + Citrine + Tiger Eye | Wealt,"The Silver Plated Dhan Yog Bracelet is UPAASAK's signature prosperity bracelet, combining three of the most powerful wealth-attracting crystals — Pyrite, Citrine, and Tiger Eye — in a premium silver-plated finish. Pyrite, often called Fool's Gold, is traditionally associated with abundance and finan",,,,,new,,,,,,,Natural Crystals,,,kg,,,active
money-silver-plated-dhan-yog-bracelet-natural-crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Money Silver Plated Dhan Yog Bracelet (Natural Crystal),,,,,,,,,,,,,,,,,,,,,
money-silver-plated-dhan-yog-bracelet-natural-crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Money Silver Plated Dhan Yog Bracelet (Natural Crystal),,,,,,,,,,,,,,,,,,,,,
